id,name,family,events,time,kick,snare,status,issues
"CAN-065","Medium Swing","Jazz","24","true","true","true","PASS",""
"CAN-066","Up-Tempo / Bebop Swing","Jazz","28","true","true","true","PASS",""
"CAN-067","Two-Feel Swing","Jazz","24","true","true","true","PASS",""
"CAN-068","Jazz Ballad","Jazz","22","true","true","true","PASS",""
"CAN-069","Brush Ballad","Jazz","24","true","true","true","PASS",""
"CAN-070","Brush Swing","Jazz","28","true","true","true","PASS",""
"CAN-071","Jazz Waltz 3/4","Jazz","20","true","true","true","PASS",""
"CAN-072","Jazz Shuffle","Jazz","24","true","true","true","PASS",""
"CAN-073","Big Band Swing","Jazz","28","true","true","true","PASS",""
"CAN-074","Bebop Comping","Jazz","28","true","true","true","PASS",""
"CAN-075","Straight-8 / ECM","Jazz","22","true","true","true","PASS",""
"CAN-076","Jazz-Funk","Jazz","32","true","true","true","PASS",""
"CAN-077","Fusion","Jazz","34","true","true","true","PASS",""
"CAN-078","Afro-Cuban Jazz 6/8","Jazz","24","true","true","true","PASS",""
"CAN-079","Train Beat","Country / Americana","24","true","true","true","PASS",""
"CAN-080","Country Two-Step","Country / Americana","24","true","true","true","PASS",""
"CAN-081","Country Shuffle","Country / Americana","32","true","true","true","PASS",""
"CAN-082","Country Waltz","Country / Americana","12","true","true","true","PASS",""
"CAN-083","Western Swing","Country / Americana","28","true","true","true","PASS",""
"CAN-084","Country Pop / Nashville Straight 8ths","Country / Americana","30","true","true","true","PASS",""
"CAN-085","Country Rock","Country / Americana","34","true","true","true","PASS",""
"CAN-086","Country 6/8 Ballad","Country / Americana","18","true","true","true","PASS",""
"CAN-087","Modern Bluegrass Drum-Set","Country / Americana","36","true","true","true","PASS",""
"CAN-088","Rockabilly Shuffle","Country / Americana","34","true","true","true","PASS",""
"CAN-089","Old-School Breakbeat","Hip-Hop","50","true","true","true","PASS",""
"CAN-090","Boom Bap","Hip-Hop","32","true","true","true","PASS",""
"CAN-091","West Coast / G-Funk","Hip-Hop","32","true","true","true","PASS",""
"CAN-092","Dilla / Drunk Pocket","Hip-Hop","36","true","true","true","PASS",""
"CAN-093","Lo-Fi Hip-Hop","Hip-Hop","30","true","true","true","PASS",""
"CAN-094","Trap Half-Time","Hip-Hop","28","true","true","true","PASS",""
"CAN-095","Trap Double-Time Hats","Hip-Hop","44","true","true","true","PASS",""
"CAN-096","Drill","Hip-Hop","46","true","true","true","PASS",""
"CAN-097","Jersey Club","Hip-Hop","32","true","true","true","PASS",""
"CAN-098","Sample-Break Pocket","Hip-Hop","96","true","true","true","PASS",""
"CAN-099","Mento Drum-Set Adaptation","Jamaica","24","true","true","true","PASS",""
"CAN-100","Ska","Jamaica","16","true","true","true","PASS",""
"CAN-101","Rocksteady","Jamaica","28","true","true","true","PASS",""
"CAN-102","Reggae One Drop","Jamaica","20","true","true","true","PASS",""
"CAN-103","Reggae Rockers","Jamaica","50","true","true","true","PASS",""
"CAN-104","Reggae Steppers","Jamaica","26","true","true","true","PASS",""
"CAN-105","Dub","Jamaica","21","true","true","true","PASS",""
"CAN-106","Nyabinghi Drum-Set","Jamaica","25","true","true","true","PASS",""
"CAN-107","Early Dancehall","Jamaica","28","true","true","true","PASS",""
"CAN-108","Digital Dancehall / Ragga","Jamaica","29","true","true","true","PASS",""
"CAN-109","Modern Dancehall","Jamaica","29","true","true","true","PASS",""
"CAN-110","Disco","Electronic / Dance","28","true","true","true","PASS",""
"CAN-111","Classic House","Electronic / Dance","36","true","true","true","PASS",""
"CAN-112","Deep House","Electronic / Dance","32","true","true","true","PASS",""
"CAN-113","Funky House","Electronic / Dance","36","true","true","true","PASS",""
"CAN-114","Techno","Electronic / Dance","24","true","true","true","PASS",""
"CAN-115","Detroit Electro","Electronic / Dance","30","true","true","true","PASS",""
"CAN-116","Electro-Funk","Electronic / Dance","38","true","true","true","PASS",""
"CAN-117","UK Garage / 2-Step","Electronic / Dance","34","true","true","true","PASS",""
"CAN-118","Breakbeat / Big Beat","Electronic / Dance","52","true","true","true","PASS",""
"CAN-119","Jungle","Electronic / Dance","50","true","true","true","PASS",""
"CAN-120","Drum & Bass","Electronic / Dance","28","true","true","true","PASS",""
"CAN-121","Trip-Hop","Electronic / Dance","32","true","true","true","PASS",""
"CAN-122","Trance","Electronic / Dance","52","true","true","true","PASS",""
"CAN-123","Dubstep Half-Time","Electronic / Dance","26","true","true","true","PASS",""
"CAN-124","Footwork / Juke","Electronic / Dance","52","true","true","true","PASS",""
"CAN-125","Synthwave","Electronic / Dance","28","true","true","true","PASS",""
"CAN-126","Amapiano","Electronic / Dance","20","true","true","true","PASS",""
"CAN-127","Afro House","Electronic / Dance","24","true","true","true","PASS",""
"CAN-128","Son","Latin America","20","true","true","true","PASS",""
"CAN-129","Son Montuno","Latin America","20","true","true","true","PASS",""
"CAN-130","Mambo","Latin America","22","true","true","true","PASS",""
"CAN-131","Cha-Cha-Cha","Latin America","18","true","true","true","PASS",""
"CAN-132","Bolero Cubano","Latin America","24","true","true","true","PASS",""
"CAN-133","Songo","Latin America","36","true","true","true","PASS",""
"CAN-134","Timba","Latin America","42","true","true","true","PASS",""
"CAN-135","Mozambique","Latin America","28","true","true","true","PASS",""
"CAN-136","Guaguancó Drum-Set","Latin America","22","true","true","true","PASS",""
"CAN-137","Afro-Cuban 6/8 / Bembé","Latin America","28","true","true","true","PASS",""
"CAN-138","Salsa 2-3","Latin America","21","true","true","true","PASS",""
"CAN-139","Salsa 3-2","Latin America","21","true","true","true","PASS",""
"CAN-140","Bossa Nova","Latin America","28","true","true","true","PASS",""
"CAN-141","Samba Batucada","Latin America","56","true","true","true","PASS",""
"CAN-142","Samba Partido Alto","Latin America","32","true","true","true","PASS",""
"CAN-143","Samba-Reggae","Latin America","32","true","true","true","PASS",""
"CAN-144","Baião","Latin America","32","true","true","true","PASS",""
"CAN-145","Maracatu","Latin America","32","true","true","true","PASS",""
"CAN-146","Frevo","Latin America","40","true","true","true","PASS",""
"CAN-147","Ijexá / Afoxê","Latin America","24","true","true","true","PASS",""
"CAN-148","Samba-Funk","Latin America","54","true","true","true","PASS",""
"CAN-149","Samba-Jazz","Latin America","32","true","true","true","PASS",""
"CAN-150","Choro / Maxixe Drum-Set Adaptation","Latin America","32","true","true","true","PASS",""
"CAN-151","Traditional Colombian Cumbia","Latin America","24","true","true","true","PASS",""
"CAN-152","Porro / Porro Chocoano","Latin America","28","true","true","true","PASS",""
"CAN-153","Chandé","Latin America","26","true","true","true","PASS",""
"CAN-154","Currulao Drum-Set Adaptation","Latin America","26","true","true","true","PASS",""
"CAN-155","Joropo","Latin America","24","true","true","true","PASS",""
"CAN-156","Merengue Venezolano","Latin America","20","true","true","true","PASS",""
"CAN-157","Festejo","Latin America","32","true","true","true","PASS",""
"CAN-158","Landó","Latin America","30","true","true","true","PASS",""
"CAN-159","Chacarera","Latin America","24","true","true","true","PASS",""
"CAN-160","Zamba Argentina","Latin America","20","true","true","true","PASS",""
"CAN-161","Candombe Uruguayo","Latin America","40","true","true","true","PASS",""
"CAN-162","Tango","Latin America","20","true","true","true","PASS",""
"CAN-163","Milonga","Latin America","32","true","true","true","PASS",""
"CAN-164","Merengue","Caribbean","32","true","true","true","PASS",""
"CAN-165","Bachata","Caribbean","27","true","true","true","PASS",""
"CAN-166","Bomba Drum-Set","Caribbean","29","true","true","true","PASS",""
"CAN-167","Plena Drum-Set","Caribbean","25","true","true","true","PASS",""
"CAN-168","Calypso","Caribbean","28","true","true","true","PASS",""
"CAN-169","Soca","Caribbean","26","true","true","true","PASS",""
"CAN-170","Kompa","Caribbean","30","true","true","true","PASS",""
"CAN-171","Zouk","Caribbean","32","true","true","true","PASS",""
"CAN-172","Biguine / Beguine","Caribbean","24","true","true","true","PASS",""
"CAN-173","Afrobeat","Africa","40","true","true","true","PASS",""
"CAN-174","Highlife","Africa","22","true","true","true","PASS",""
"CAN-175","Kpanlogo Drum-Set","Africa","26","true","true","true","PASS",""
"CAN-176","Ewe 12/8 / Agbekor Adaptation","Africa","32","true","true","true","PASS",""
"CAN-177","Fanga Drum-Set Adaptation","Africa","26","true","true","true","PASS",""
"CAN-178","Mbalax","Africa","36","true","true","true","PASS",""
"CAN-179","Jùjú / Yoruba-derived Drum-Set","Africa","32","true","true","true","PASS",""
"CAN-180","Soukous","Africa","28","true","true","true","PASS",""
"CAN-181","Makossa","Africa","34","true","true","true","PASS",""
"CAN-182","Bikutsi","Africa","28","true","true","true","PASS",""
"CAN-183","Mangambe","Africa","26","true","true","true","PASS",""
"CAN-184","Mbaqanga","Africa","28","true","true","true","PASS",""
"CAN-185","South African House","Africa","24","true","true","true","PASS",""
"CAN-186","Amapiano","Africa","26","true","true","true","PASS",""
"CAN-187","Sega","Africa","24","true","true","true","PASS",""
"CAN-188","Maloya","Africa","24","true","true","true","PASS",""
"CAN-189","Gnawa Drum-Set","North Africa / Middle East","26","true","true","true","PASS",""
"CAN-190","Maghreb Chaabi","North Africa / Middle East","26","true","true","true","PASS",""
"CAN-191","Raï","North Africa / Middle East","32","true","true","true","PASS",""
"CAN-192","Maqsum","North Africa / Middle East","10","false","true","true","PASS",""
"CAN-193","Saidi","North Africa / Middle East","12","false","true","true","PASS",""
"CAN-194","Malfuf","North Africa / Middle East","8","false","true","true","PASS",""
"CAN-195","Ayoub","North Africa / Middle East","8","false","true","true","PASS",""
"CAN-196","Baladi / Masmoudi Saghir","North Africa / Middle East","12","false","true","true","PASS",""
"CAN-197","Masmoudi Kabir","North Africa / Middle East","14","false","true","true","PASS",""
"CAN-198","Chiftetelli","North Africa / Middle East","12","false","true","true","PASS",""
"CAN-199","Balkan 7/8","Balkans / Eastern Europe","12","true","true","true","PASS",""
"CAN-200","Balkan 9/8","Balkans / Eastern Europe","16","true","true","true","PASS",""
"CAN-201","Balkan 11/8","Balkans / Eastern Europe","20","true","true","true","PASS",""
"CAN-202","Čoček / 9/8 Dance","Balkans / Eastern Europe","24","true","true","true","PASS",""
"CAN-203","Bhangra / Dhol Drum-Set","South Asia","20","true","true","true","PASS",""
"CAN-204","Teentaal 16-beat Drum-Set Adaptation","South Asia","16","false","true","true","PASS",""
"CAN-205","Keherwa / 8-beat Drum-Set Adaptation","South Asia","16","false","true","true","PASS",""
"CAN-206","Dadra / 6-beat Drum-Set Adaptation","South Asia","12","false","true","true","PASS",""
"CAN-207","Afro-Cuban Funk","Global / Hybrid","30","true","true","true","PASS",""
"CAN-208","Brazilian Funk","Global / Hybrid","54","true","true","true","PASS",""
"CAN-209","Latin Rock","Global / Hybrid","30","true","true","true","PASS",""
"CAN-210","Reggae Rock","Global / Hybrid","28","true","true","true","PASS",""
"CAN-211","Jazz-Rock Fusion","Global / Hybrid","33","true","true","false","PASS",""
"CAN-212","Afrobeat-Funk","Global / Hybrid","54","true","true","true","PASS",""
"CAN-213","World 6/8 Fusion","Global / Hybrid","21","true","true","true","PASS",""
