id,family,tradition,archetype,tier,coverage,candidateScore,candidateSource,candidateName,candidateAction,validationState
CAN-049,Funk / Soul / R&B,African-American groove,Go-Go,A,RELATED_CANDIDATE,0.598,Battrochtek Library v2,Go-Go Pocket,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-050,Funk / Soul / R&B,African-American groove,Gospel Pocket,A,RELATED_CANDIDATE,0.674,Battrochtek Library v2,Go-Go Pocket,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-051,Funk / Soul / R&B,African-American groove,Gospel Shout,A,NAMED_MATCH,0.920,Battrochtek Library v2,Gospel Shout,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-052,Funk / Soul / R&B,African-American groove,Neo-Soul,A,RELATED_CANDIDATE,0.674,Battrochtek Library v2,Neo-Soul Pocket,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-053,Funk / Soul / R&B,African-American groove,Modern R&B,A,NAMED_MATCH,0.907,Battrochtek Library v2,Modern R&B,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-054,Funk / Soul / R&B,African-American groove,Linear Funk,A,NAMED_MATCH,0.907,Battrochtek Library v2,Linear Funk,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-055,Funk / Soul / R&B,African-American groove,Ghost-Note Funk,A,NAMED_MATCH,0.920,Battrochtek Library v2,Ghost Note Funk,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-056,Funk / Soul / R&B,African-American groove,Disco-Funk / Chic,A,MISSING_OR_WEAK,0.482,Basic Grooves,Le Freak – Chic,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-057,Blues / Shuffle,Blues,Chicago Shuffle,A,NAMED_MATCH,1.020,Battrochtek Library v2,Chicago Shuffle,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-058,Blues / Shuffle,Blues,Texas Shuffle,A,NAMED_MATCH,1.020,Battrochtek Library v2,Texas Shuffle,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-059,Blues / Shuffle,Blues,Slow 12/8 Blues,A,NAMED_MATCH,1.020,Battrochtek Library v2,Slow 12/8 Blues,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-060,Blues / Shuffle,Blues,Straight Blues,A,RELATED_CANDIDATE,0.599,Battrochtek Library v2,Straight 8ths,MOVE_FOUNDATIONS_REBUILD,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-061,Blues / Shuffle,Blues,Jump Blues,A,MISSING_OR_WEAK,0.512,Drum Machine Patterns,Blues1,SOURCE_POOL_MACHINE_VERIFY_PROVENANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-062,Blues / Shuffle,Blues,Train Shuffle,A,NAMED_MATCH,1.020,Battrochtek Library v2,Train Shuffle,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-063,Blues / Shuffle,Blues,Half-Time Shuffle,A,NAMED_MATCH,1.020,Battrochtek Library v2,Half-Time Shuffle,REBUILD_VALIDATE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-064,Blues / Shuffle,Blues,Blues Rock Shuffle,A,RELATED_CANDIDATE,0.622,Battrochtek Library v2,Texas Shuffle,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-065,Jazz,Swing & modern,Medium Swing,A,NAMED_MATCH,0.785,Battrochtek Library v2,Medium Swing Brushes,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-066,Jazz,Swing & modern,Up-Tempo / Bebop Swing,A,RELATED_CANDIDATE,0.532,Battrochtek Library v2,Two-Feel Swing,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-067,Jazz,Swing & modern,Two-Feel Swing,A,NAMED_MATCH,0.970,Battrochtek Library v2,Two-Feel Swing,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-068,Jazz,Swing & modern,Jazz Ballad,A,MISSING_OR_WEAK,0.460,Drum Machine Patterns,JazzBreak1,SOURCE_POOL_MACHINE_VERIFY_PROVENANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-069,Jazz,Swing & modern,Brush Ballad,A,MISSING_OR_WEAK,0.400,Drum Machine Patterns,Ballad1Break,SOURCE_POOL_MACHINE_VERIFY_PROVENANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-070,Jazz,Swing & modern,Brush Swing,A,RELATED_CANDIDATE,0.657,Battrochtek Library v2,Broken Swing,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-071,Jazz,Swing & modern,Jazz Waltz 3/4,A,RELATED_CANDIDATE,0.639,Groove MIDI Dataset,4 jazz 120 beat 3 4,SOURCE_POOL_HUMAN_PERFORMANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-072,Jazz,Swing & modern,Jazz Shuffle,A,RELATED_CANDIDATE,0.574,Battrochtek Library v2,Texas Shuffle,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-073,Jazz,Swing & modern,Big Band Swing,A,RELATED_CANDIDATE,0.579,Battrochtek Library v2,Broken Swing,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-074,Jazz,Swing & modern,Bebop Comping,A,MISSING_OR_WEAK,0.485,Battrochtek Library v2,Broken Swing,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-075,Jazz,Swing & modern,Straight-8 / ECM,A,RELATED_CANDIDATE,0.622,Battrochtek Library v2,ECM Straight 8ths,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-076,Jazz,Swing & modern,Jazz-Funk,A,RELATED_CANDIDATE,0.528,Groove MIDI Dataset,4 jazz funk 116 beat 4 4,SOURCE_POOL_HUMAN_PERFORMANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-077,Jazz,Swing & modern,Fusion,A,MISSING_OR_WEAK,0.429,Battrochtek Library v2,Two-Feel Swing,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-078,Jazz,Swing & modern,Afro-Cuban Jazz 6/8,A,RELATED_CANDIDATE,0.535,Battrochtek Library v2,Afro 6/8,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-079,Country / Americana,Country,Train Beat,A,NAMED_MATCH,1.020,Battrochtek Library v2,Train Beat,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-080,Country / Americana,Country,Country Two-Step,A,NAMED_MATCH,0.787,Battrochtek Library v2,Two-Step,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-081,Country / Americana,Country,Country Shuffle,A,NAMED_MATCH,1.020,Battrochtek Library v2,Country Shuffle,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-082,Country / Americana,Country,Country Waltz,A,NAMED_MATCH,1.020,Battrochtek Library v2,Country Waltz,REBUILD_VALIDATE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-083,Country / Americana,Country,Western Swing,A,NAMED_MATCH,1.020,Battrochtek Library v2,Honky Tonk,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-084,Country / Americana,Country,Country Pop / Nashville Straight 8ths,A,NAMED_MATCH,0.875,Battrochtek Library v2,Nashville Straight,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-085,Country / Americana,Country,Country Rock,A,NAMED_MATCH,1.020,Battrochtek Library v2,Country Rock,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-086,Country / Americana,Country,Country 6/8 Ballad,A,NAMED_MATCH,0.820,Battrochtek Library v2,Brushes Country,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-087,Country / Americana,Country,Modern Bluegrass Drum-Set,A,NAMED_MATCH,0.856,Battrochtek Library v2,Bluegrass Drum-Set,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-088,Country / Americana,Country,Rockabilly Shuffle,A,RELATED_CANDIDATE,0.669,Battrochtek Library v2,Country Shuffle,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-089,Hip-Hop,Hip-Hop,Old-School Breakbeat,A,NAMED_MATCH,1.020,Battrochtek Library v2,Old School Breakbeat,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-090,Hip-Hop,Hip-Hop,Boom Bap,A,NAMED_MATCH,0.747,Battrochtek Library v2,Boom Bap Pocket,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-091,Hip-Hop,Hip-Hop,West Coast / G-Funk,A,MISSING_OR_WEAK,0.485,Battrochtek Library v2,Ghost Note Funk,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-092,Hip-Hop,Hip-Hop,Dilla / Drunk Pocket,A,NAMED_MATCH,0.796,Battrochtek Library v2,Dilla Drunk Beat,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-093,Hip-Hop,Hip-Hop,Lo-Fi Hip-Hop,A,RELATED_CANDIDATE,0.708,Battrochtek Library v2,Lo-Fi Pocket,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-094,Hip-Hop,Hip-Hop,Trap Half-Time,A,NAMED_MATCH,1.020,Battrochtek Library v2,Trap Half-Time,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-095,Hip-Hop,Hip-Hop,Trap Double-Time Hats,A,RELATED_CANDIDATE,0.631,Battrochtek Library v2,Trap Half-Time,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-096,Hip-Hop,Hip-Hop,Drill,A,NAMED_MATCH,1.020,Battrochtek Library v2,Drill,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-097,Hip-Hop,Hip-Hop,Jersey Club,A,MISSING_OR_WEAK,0.370,Battrochtek Library v2,Bolero Cubano,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-098,Hip-Hop,Hip-Hop,Sample-Break Pocket,A,RELATED_CANDIDATE,0.602,Battrochtek Library v2,Boom Bap Pocket,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-099,Jamaica,Jamaican lineage,Mento Drum-Set Adaptation,A,MISSING_OR_WEAK,0.475,Battrochtek Library v2,Plena Drum-Set,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-100,Jamaica,Jamaican lineage,Ska,A,RELATED_CANDIDATE,0.660,Drum Machine Patterns,Ska1,SOURCE_POOL_MACHINE_VERIFY_PROVENANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-101,Jamaica,Jamaican lineage,Rocksteady,A,MISSING_OR_WEAK,0.420,Drum Machine Patterns,Rock1Break,SOURCE_POOL_MACHINE_VERIFY_PROVENANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-102,Jamaica,Jamaican lineage,Reggae One Drop,A,MISSING_OR_WEAK,0.517,Battrochtek Library v2,Reggaeton / Dembow,REBUILD_VALIDATE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-103,Jamaica,Jamaican lineage,Reggae Rockers,A,MISSING_OR_WEAK,0.481,Drum Machine Patterns,Reggae1Break,SOURCE_POOL_MACHINE_VERIFY_PROVENANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-104,Jamaica,Jamaican lineage,Reggae Steppers,A,MISSING_OR_WEAK,0.432,Drum Machine Patterns,Reggae1,SOURCE_POOL_MACHINE_VERIFY_PROVENANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-105,Jamaica,Jamaican lineage,Dub,A,MISSING_OR_WEAK,0.370,Battrochtek Library v2,Drum & Bass,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-106,Jamaica,Jamaican lineage,Nyabinghi Drum-Set,A,NAMED_MATCH,0.833,Battrochtek Library v2,Nyabinghi Drum-Set,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-107,Jamaica,Jamaican lineage,Early Dancehall,A,RELATED_CANDIDATE,0.599,Battrochtek Library v2,Modern Dancehall,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-108,Jamaica,Jamaican lineage,Digital Dancehall / Ragga,A,RELATED_CANDIDATE,0.690,Battrochtek Library v2,Digital Dancehall,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-109,Jamaica,Jamaican lineage,Modern Dancehall,A,NAMED_MATCH,0.806,Battrochtek Library v2,Modern Dancehall,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-110,Electronic / Dance,Club music,Disco,B,RELATED_CANDIDATE,0.686,Drum Machine Patterns,Disco1,SOURCE_POOL_MACHINE_VERIFY_PROVENANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-111,Electronic / Dance,Club music,Classic House,B,MISSING_OR_WEAK,0.514,Battrochtek Library v2,Deep House,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-112,Electronic / Dance,Club music,Deep House,B,NAMED_MATCH,0.920,Battrochtek Library v2,Deep House,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-113,Electronic / Dance,Club music,Funky House,B,NAMED_MATCH,0.920,Battrochtek Library v2,Funky House,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-114,Electronic / Dance,Club music,Techno,B,NAMED_MATCH,0.900,Battrochtek Library v2,Techno,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-115,Electronic / Dance,Club music,Detroit Electro,B,RELATED_CANDIDATE,0.615,Battrochtek Library v2,Electro,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-116,Electronic / Dance,Club music,Electro-Funk,B,NAMED_MATCH,0.920,Battrochtek Library v2,Electro-Funk,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-117,Electronic / Dance,Club music,UK Garage / 2-Step,B,NAMED_MATCH,0.945,Battrochtek Library v2,UK Garage / 2-Step,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-118,Electronic / Dance,Club music,Breakbeat / Big Beat,B,RELATED_CANDIDATE,0.579,Groove MIDI Dataset,80 dance breakbeat 170 beat 4 4,SOURCE_POOL_HUMAN_PERFORMANCE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-119,Electronic / Dance,Club music,Jungle,B,NAMED_MATCH,0.900,Battrochtek Library v2,Jungle,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
CAN-120,Electronic / Dance,Club music,Drum & Bass,B,NAMED_MATCH,0.920,Battrochtek Library v2,Drum & Bass,REBUILD_DISTINCT_ARCHETYPE,NEEDS_MUSICOLOGICAL_VALIDATION
