row,source,family,style,name,bpm,signature,sourceType,memoryCount,uniqueMemoryCount,fingerprint,exactDuplicatesAll,exactDuplicatesSource,action,origin,attribution
83,Basic Grooves,Jazz,Jazz,My Favorite Things – John Coltrane,132,3/4,curated,1,1,9d751994930c,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/My Favorite Things – John Coltrane,Source IA — adaptation pédagogique
84,Basic Grooves,Jazz,Jazz,All Blues – Miles Davis,120,6/8,curated,1,1,6dd7cb48aad8,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/All Blues – Miles Davis,Source IA — adaptation pédagogique
85,Basic Grooves,Jazz,Jazz,Footprints – Wayne Shorter,108,6/8,curated,1,1,01487d2ba8b7,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Footprints – Wayne Shorter,Source IA — adaptation pédagogique
86,Basic Grooves,Jazz,Jazz,Blue Rondo à la Turk – Dave Brubeck,126,9/8,curated,1,1,a03ed99c71c7,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Blue Rondo à la Turk – Dave Brubeck,Source IA — adaptation pédagogique
87,Basic Grooves,Jazz,Jazz,Mission: Impossible Theme – Lalo Schifrin,112,5/4,curated,1,1,49a407b692ca,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Mission: Impossible Theme – Lalo Schifrin,Source IA — adaptation pédagogique
88,Basic Grooves,Jazz,Jazz,A Night In Tunisia – Dizzy Gillespie,138,4/4,curated,1,1,ebd5545d8c51,4,4,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/A Night In Tunisia – Dizzy Gillespie,Source IA — adaptation pédagogique
89,Basic Grooves,Jazz,Jazz,Song For My Father – Horace Silver,124,4/4,curated,1,1,81b366f5d748,4,4,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Song For My Father – Horace Silver,Source IA — adaptation pédagogique
90,Basic Grooves,Jazz,Jazz,The Sidewinder – Lee Morgan,126,4/4,curated,1,1,78e02f4eece0,4,4,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/The Sidewinder – Lee Morgan,Source IA — adaptation pédagogique
91,Basic Grooves,Jazz,Jazz,Watermelon Man – Herbie Hancock,116,4/4,curated,1,1,b89dddca4548,3,3,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Watermelon Man – Herbie Hancock,Source IA — adaptation pédagogique
92,Basic Grooves,Jazz,Jazz,St. Thomas – Sonny Rollins,152,4/4,curated,1,1,e0ca654dc818,3,3,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/St. Thomas – Sonny Rollins,Source IA — adaptation pédagogique
93,Basic Grooves,Jazz,Jazz,Caravan – Duke Ellington,136,4/4,curated,1,1,ebd5545d8c51,4,4,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Caravan – Duke Ellington,Source IA — adaptation pédagogique
94,Basic Grooves,Jazz,Jazz,Autumn Leaves – Cannonball Adderley,124,4/4,curated,1,1,81b366f5d748,4,4,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Autumn Leaves – Cannonball Adderley,Source IA — adaptation pédagogique
95,Basic Grooves,Jazz,Jazz,Chitlins Con Carne – Kenny Burrell,110,4/4,curated,1,1,78e02f4eece0,4,4,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Chitlins Con Carne – Kenny Burrell,Source IA — adaptation pédagogique
96,Basic Grooves,Jazz,Jazz,Cucumber Slumber – Weather Report,104,4/4,curated,1,1,b89dddca4548,3,3,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Cucumber Slumber – Weather Report,Source IA — adaptation pédagogique
97,Basic Grooves,Jazz,Jazz,Actual Proof – Herbie Hancock,122,4/4,curated,1,1,bb5aa48df1de,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Actual Proof – Herbie Hancock,Source IA — adaptation pédagogique
98,Basic Grooves,Jazz,Jazz,The Chicken (Live) – Jaco Pastorius,112,4/4,curated,1,1,ebd5545d8c51,4,4,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/The Chicken (Live) – Jaco Pastorius,Source IA — adaptation pédagogique
99,Basic Grooves,Jazz,Jazz,Strasbourg / St. Denis – Roy Hargrove,112,4/4,curated,1,1,81b366f5d748,4,4,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Strasbourg / St. Denis – Roy Hargrove,Source IA — adaptation pédagogique
100,Basic Grooves,Jazz,Jazz,Red Clay – Freddie Hubbard,122,4/4,curated,1,1,78e02f4eece0,4,4,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Jazz/Red Clay – Freddie Hubbard,Source IA — adaptation pédagogique
101,Basic Grooves,Hip-Hop,Hip-Hop,"Amen, Brother – The Winstons",136,4/4,curated,1,1,d1a94f49a012,1,1,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,"Hip-Hop/Amen, Brother – The Winstons",Source IA — adaptation pédagogique
102,Basic Grooves,Hip-Hop,Hip-Hop,Impeach The President – The Honey Drippers,96,4/4,curated,1,1,6f819023bbbd,1,1,ICONIC_CANDIDATE_TRANSCRIBE_VALIDATE,Hip-Hop/Impeach The President – The Honey Drippers,Source IA — adaptation pédagogique
103,Basic Grooves,Hip-Hop,Hip-Hop,Apache – Incredible Bongo Band,114,4/4,curated,1,1,5add77cea8c0,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Hip-Hop/Apache – Incredible Bongo Band,Source IA — adaptation pédagogique
104,Basic Grooves,Hip-Hop,Hip-Hop,Synthetic Substitution – Melvin Bliss,92,4/4,curated,1,1,dbe3bd97d330,1,1,SOURCE_ONLY_AI_ADAPTATION_VALIDATE,Hip-Hop/Synthetic Substitution – Melvin Bliss,Source IA — adaptation pédagogique
