"sourceId","title","authors","publisher","year","sourceKind","evidenceGrade","pageCount","sha256","relativePaths"
"PDF-3187600027fe","Instant Guide to Drum Grooves","Maria Martinez","Hal Leonard","","professional-method","A","30","3187600027fe3e853aacafd7634af8ed745b23c1bba149361174a339016d3b69","BLUES - SHUFFLE/Drum Book — Blues - Swamp - New Orleans.pdf; GENERAL - HUGE GROOVE COLLECTIONS/Drum Book — Multi-Style Groove Collection.pdf; HIP-HOP - MODERN GROOVES/Drum Book — Hip-Hop Groove Section.pdf; NEW ORLEANS - SECOND LINE ⚜️/Drum Book — New Orleans - Second Line - Swamp - Funk.pdf; REGGAE - SKA - CARIBBEAN 🇯🇲/Drum Book — Reggae One Drop - Ska - Calypso - Soca.pdf"
"PDF-3d5df133b728","Brazilian Coordination for Drumset","Maria Martinez","Hal Leonard","1999","professional-method","A","80","3d5df133b728c7c89042ed8509452da593b6e7a4f868d9a428e6393da2d49213","BRAZIL 🇧🇷/Brazilian Coordination for Drumset — Maria Martinez.pdf"
"PDF-5b17d3b0173f","Brazilian Rhythms in the Drums","","","","unidentified-excerpt","C","10","5b17d3b0173f6869e6394ee4ffe66818c7c9c9a77db781ed9c7466a33e483e84","BRAZIL 🇧🇷/Brazilian Drumming Rhythms.pdf"
"PDF-36bf5e94d8ea","Brazilian Rhythms for Drumset","Duduka Da Fonseca; Bob Weiner","Manhattan Music / Alfred Music","1991","professional-method","A","6","36bf5e94d8ea9d419154bad4266d5ab1178cbb92f02d1389da297bf322499009","BRAZIL 🇧🇷/Brazilian Rhythms for Drumset — Duduka Da Fonseca - Bob Weiner.pdf"
"PDF-bb2244d5c087","Brazilian Rhythms for Drumset","Vera Figueiredo; Daniel Oliveira","Hudson Music","","professional-method-excerpt","A-","11","bb2244d5c08713dcde0bcdc2a487a30fab6434b6f9c02bac18c7afc792d33f5b","BRAZIL 🇧🇷/Brazilian Rhythms for Drumset — Vera Figueiredo - Daniel Oliveira.pdf"
"PDF-f97e3e83bf02","A Cannibalist's Manifesto: Candomblé Rhythms for Drum Kit","Peter Alastair McGrath-Kerr","University of Melbourne","2019","doctoral-thesis","A","115","f97e3e83bf0298e9b27f3700e2c8135351c85518309e8982964a23578eaa7849","BRAZIL 🇧🇷/Candomblé Rhythm for Drumset.pdf"
"PDF-99f49a7f9a15","The Brazilian Groove Book","Kiko Freitas","","","professional-method-excerpt","A-","6","99f49a7f9a152d958b8127f645c84d9b292dc0259b2d40930b971a70cf97192e","BRAZIL 🇧🇷/The Brazilian Groove Book — Kiko Freitas.pdf"
"PDF-f40b6fc1f4f1","Solfège Rythmique, Cahier No. 1","Dante Agostini","École Dante Agostini","","professional-method","A","68","f40b6fc1f4f1a702c96b2001fa6d84927c5a9385435f1e81bf8e280c83706576","DANTE AGOSTINI/Dante Agostini - Solfège Rhythmique Cahier No 1.pdf"
"PDF-30b03bbca266","Méthode de Batterie, Volumes I–II","Dante Agostini","École Dante Agostini","","professional-method","A","116","30b03bbca26687eda4cd2c2eefcdca3ebd66568f41ea5e198061db587f8925e3","DANTE AGOSTINI/Methode de Batterie Dante Agostini Vol. 1-2.pdf"
"PDF-7064fe3e54b3","Méthode de Batterie, Volume II","Dante Agostini","École Dante Agostini","","professional-method","A","110","7064fe3e54b373cb3cb3670765ea89961abd044f225a9187d679087f5e2e7cf6","DANTE AGOSTINI/Methode de Batterie Dante Agostini Vol. 2.pdf"
"PDF-2792e4f7409a","Méthode de Batterie, Volume II","Dante Agostini","École Dante Agostini","","professional-method","A","110","2792e4f7409a37fbe87e997d29059e4fe21704727dc22d88e87187bf72f69dd9","DANTE AGOSTINI/Méthode de Batterie - Vol.2.pdf"
"PDF-474a33d9bfb9","Preparation for Sight-Reading, Volume I","Dante Agostini","École Dante Agostini","","professional-method","A","50","474a33d9bfb9fb5e9e934841e07846e12a56b30cec3e5d83616810afe9e8ae28","DANTE AGOSTINI/Préparation aux Déchiffrages - Vol.1{.pdf"
"PDF-8f225657efb9","Préparation aux Déchiffrages - Vol.2","","","","unidentified","D","17","8f225657efb91b9de012cff478e440ceefcdf5d0545cf19b677079f089b33bc5","DANTE AGOSTINI/Préparation aux Déchiffrages - Vol.2.pdf"
"PDF-fbbdc4070c40","Préparation aux Déchiffrages - Vol.3","","","","unidentified","D","41","fbbdc4070c40c641da0a236cb2cf506f0181299391d70ca31421d1fa416aca30","DANTE AGOSTINI/Préparation aux Déchiffrages - Vol.3.pdf"
"PDF-a6fb626f326f","Méthode de Batterie, Volume II","Dante Agostini","École Dante Agostini","","professional-method","A","110","a6fb626f326f798d724bb44e0296abc3f3052b9671a86d160f4cd97ae3f3cf9b","DANTE AGOSTINI/dante agostini 2.pdf"
"PDF-e3da748daa43","Funk Drumming 101","Simone Pannozzo","Self-published educational excerpt","","promotional-excerpt","B-","1","e3da748daa43f2bab4c1cfb8f21f1bdafff9a3062a606fc171315899a260e52c","FUNK - SOUL - R&B - LINEAR/Funk Drumming 101 — 2-Bar Grooves.pdf"
"PDF-68a92eedb76b","Linear Patterns Made Easy","","","","magazine-excerpt","C","2","68a92eedb76b7655ebf6b97233ce2a01640395b243b53fad35ce832d4ea70913","FUNK - SOUL - R&B - LINEAR/Linear Patterns Made Easy.pdf"
"PDF-200e835c284b","Linear Drum Fills","Blake Paulson","Alfred Music","2014","professional-method-excerpt","A-","6","200e835c284bf6cdf19e1489bae5c5fb1ab3fb6bc9ca109f57b85dfb810bfe95","FUNK - SOUL - R&B - LINEAR/Method for Developing Musical Linear Drum Fills.pdf"
"PDF-4e08590ad53a","Funk Drumming: Innovative Grooves & Advanced Concepts","Mike Clark","Hal Leonard","","professional-method","A","51","4e08590ad53aca2dc0462a3f67c42643e88da3705c530b9927d50757a5cb5baf","FUNK - SOUL - R&B - LINEAR/Mike Clark — Funk Drumming.pdf"
"PDF-585c2cd39514","Linear Drumming","Mike Johnston","","","professional-method","A-","84","585c2cd39514e14a90d8267c722595a3ff540134d7920d06ceb951c61b0a5850","FUNK - SOUL - R&B - LINEAR/Mike Johnston — Linear Drumming (alternate).pdf"
"PDF-6b84daa9ee9c","Linear Drumming","Mike Johnston","","","professional-method","A-","83","6b84daa9ee9c68623c6e353e5cc33ff79c19673329412ded748ca85bf02f614d","FUNK - SOUL - R&B - LINEAR/Mike Johnston — Linear Drumming.pdf"
"PDF-46c92cd8a043","100 Grooves Every Drummer Needs to Know","","Musora / Drumeo","","published-method","B+","112","46c92cd8a043885caf59b098297edfe0fd241fd9e125fe6127ba3ea84fa3825b","GENERAL - HUGE GROOVE COLLECTIONS/100 Grooves Every Drummer Needs to Know.pdf"
"PDF-09d278110e3e","1000 Drum Grooves","Steve Mansfield","","","published-method","B+","99","09d278110e3e75866c57f8187ae59d2419355eb67a77a7c1df5258d024301838","GENERAL - HUGE GROOVE COLLECTIONS/1000 Drum Grooves — Steve Mansfield.pdf"
"PDF-98aaa0b03129","1001 Drum Grooves","Steve Mansfield","","","web-reproduced-method","B-","106","98aaa0b031292effd3296e24c648eeff4513fec6d6a4a0f9574fe831552bd0c9","GENERAL - HUGE GROOVE COLLECTIONS/1001 Drum Grooves — Steve Mansfield.pdf"
"PDF-3ecc64b85be9","20 Essential Grooves","Jesvin Mathew","","","educational-handout","B-","5","3ecc64b85be96eba4a53233a4b12738e3ed214461a348c4df85e2ce3796c9247","GENERAL - HUGE GROOVE COLLECTIONS/20 Essential Drum Grooves.pdf"
"PDF-d5326b0e4a42","Advanced Drum Grooves","","","","anonymous-worksheet","D","1","d5326b0e4a4243a290737969dbc6336d6957298484305adaa2fc5129d7bd46aa","GENERAL - HUGE GROOVE COLLECTIONS/Advanced Drum Grooves.pdf"
"PDF-a5bdd4a6ddc2","Drum Patterns for Musicians","","","","educational-handout","C","2","a5bdd4a6ddc2e3d26653db4afcc0d7847f903281662b58a3c76c8712857a0765","GENERAL - HUGE GROOVE COLLECTIONS/Drum Patterns for Musicians.pdf"
"PDF-39ddc4b77dca","Drumset FUNdamentals","Dave Black; Mark Dorr","Percussive Arts Society handout","2001","professional-clinic-handout","A-","12","39ddc4b77dcaeb4025853d52c635a0a1205d5eca191c9868fc9e011af59267cf","GENERAL - HUGE GROOVE COLLECTIONS/Drumset FUNdamentals.pdf; REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS/Drumset FUNdamentals — Large Recommended Book List.pdf"
"PDF-2bb56376b3d0","Essential Drum Grooves: 16 Rhythms","","","","educational-handout","C","1","2bb56376b3d0a8730acb6d0c649190e7ba3e3c1baf5ca9d69b207444ab63530c","GENERAL - HUGE GROOVE COLLECTIONS/Essential Drum Grooves — 16 Rhythms.pdf"
"PDF-e9fb2404ba25","Drum Book","Franck Agulhon","","","professional-method","A","245","e9fb2404ba2532d0fef20dbfe9d4d99f4c7a2b386d936789c6609ca998e0c35f","GENERAL - HUGE GROOVE COLLECTIONS/Franck Agulhon — Drumbook.pdf; WEST AFRICAN - AFRICAN 🌍/Franck Agulhon Drumbook — Afro - Gnawa - Mangambeu - Bembé.pdf"
"PDF-49294994b537","Free Drum Book","Richard Hemmings","Leicester Drum School","2024","teacher-method","B+","35","49294994b537e9e4ed36dbfd9c87e5d15f6bff21cbaf9039e10551bbdd11550c","GENERAL - HUGE GROOVE COLLECTIONS/Free Drum Book — Richard Hemmings.pdf"
"PDF-642c8a4158d5","Grooves List (Bass Drum Focus)","","","","anonymous-worksheet","D","5","642c8a4158d567e33677cfbeeadc946aa436f8f3bca2afec42a103916f1eef46","GENERAL - HUGE GROOVE COLLECTIONS/Grooves List.pdf"
"PDF-4f2f3846064c","Progressive 1,000,000 Drum Grooves in 4/4 Time","Craig Lauritsen","Progressive Publishing","","professional-method","B+","64","4f2f3846064c45c20193463d12fe1587a3602a66f7567d431205a39add9945b4","GENERAL - HUGE GROOVE COLLECTIONS/Progressive 1,000,000 Drum Grooves — Craig Lauritsen.pdf; HIP-HOP - MODERN GROOVES/Progressive Drum Grooves — Rap - Funk.pdf; REGGAE - SKA - CARIBBEAN 🇯🇲/Progressive Drum Grooves — Rock - Funk - Rap - Reggae.pdf"
"PDF-343bd7b5fc90","Jazz Drumming","Billy Hart","Advance Music","","professional-method","A","25","343bd7b5fc908f6ec074ea2536efafef2bf15ba3626de54c7ba58c700d39a278","JAZZ - SWING/Billy Hart — Jazz Drumming.pdf"
"PDF-0fb73c919618","Drummer Essentials: Jazz Drumming","","DrummerLessons.com","","web-course","B-","49","0fb73c9196189b7855f3326f02c14e8f9cd0db9fe72fbc6c0b401ed9bbf6385f","JAZZ - SWING/Drummer Essentials — Jazz Drumming.pdf"
"PDF-b03d0e54a31f","3/4 Comping: The Basics of Jazz Drumming in 3/4","","On Jazz Drumming","","educational-handout","B-","1","b03d0e54a31f4afc05435633a87a49b38065ba29c0e12b4153b670f3a9ff393c","JAZZ - SWING/Jazz Comping in 3 - 4.pdf"
"PDF-a68afaab43cc","Jazz Drum Patterns: 32 Patterns","","","","unidentified-handout","C","3","a68afaab43cc9f136ead1bff38d7f0526da8a4445e3e2df93e79ca145bde52a7","JAZZ - SWING/Jazz Drum Patterns — 32 Patterns.pdf"
"PDF-6ce98a5f5591","Jazz Drumming Phrases 1–30","Gabor Turi","","","educational-handout","B-","3","6ce98a5f5591f975b10d33a87fb64915cca3bff2500e8b417b1caa327c8c013f","JAZZ - SWING/Jazz Drumming Phrases 1–30.pdf"
"PDF-9e761b1fd58e","The Jazz Drummer's Workshop","John Riley","","","professional-method","A","66","9e761b1fd58e72b2d2d1ff56e99464ff577864822efdbb1070ea9dd5cda7fc89","JAZZ - SWING/John Riley — Jazz Drummer's Workshop.pdf; NEW ORLEANS - SECOND LINE ⚜️/John Riley — The Jazz Drummer's Workshop.pdf"
"PDF-430d67e308d3","Afro-Cuban Songs and Rhythms Guide","","","","listening-guide","C","3","430d67e308d3ef28448b3fcbddba8c9a8bb5bb5737f938719052124a1438efd9","LATIN - SALSA - CARIBBEAN 🌴/Afro-Cuban Songs & Rhythms Guide.pdf"
"PDF-4ef0272514a0","100 Years of New Orleans Drumming","Dan Thress; Antoon Aukes","","","professional-method-excerpt","A-","16","4ef0272514a02e9a9bbe69465fcb35fb9dafa5e4ee087e9c096343f7f1719bbd","NEW ORLEANS - SECOND LINE ⚜️/100 Years of New Orleans Drumming.pdf"
"PDF-5d8d9032aea1","Afro-Cuban Drumming Resources: 17-Book Bibliography","","","","bibliography","C","2","5d8d9032aea1d5b338a992a1336c1857a220474f5a747c163d459b7a50d55946","REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS/Afro-Cuban Drumming Resources — 17 Book Bibliography.pdf"
"PDF-595703bb31c1","Drums & Percussion Method Catalogue","","","","publisher-catalog","B","48","595703bb31c19039683b634ee32e9147f2b05c10f62ad657286ccef4e35b5460","REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS/Drums & Percussion — Large Method Catalogue.pdf"
"PDF-9f544947c841","Drumset Student Book List","","","","teacher-reading-list","B","32","9f544947c841f00f8e5a361c1c3165dca11d515229436e0c3cd70a2a94ccfe90","REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS/Drumset Student Book List — Jazz - Funk - Soul - Latin - African.pdf"
"PDF-e584c291e034","Percussion Repertoire Guide","James Campbell; Brad Meyer","","","academic-repertoire-guide","A-","13","e584c291e03427f9b19363222c40d394afb7933250f923b6bf3f0f236806aa6c","REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS/Percussion Repertoire Guide — Drumset - World Percussion.pdf"
"PDF-3eb3fd314955","UNT Percussion Applied Lesson Syllabus: Drum Set — Jazz","","University of North Texas","2019","university-curriculum","A","9","3eb3fd3149551647c577957bd0382fdb3ba8e522f582726ba567c5f607c83a08","REFERENCE - SOURCES FOR FINDING EVEN MORE BOOKS/UNT Jazz Drumset Curriculum — Brazilian - Jazz - Latin Sources.pdf"
"PDF-b1eff7499593","West African Rhythms for Drumset","Royal Hartigan; Abraham Adzenyah; Freeman Donkor","Manhattan Music / Alfred Music","1995","professional-method-excerpt","A","7","b1eff749959303d1c3b44ced4f88c5b6ed26b4b6b849c65f0b0b79a7b3d9921c","WEST AFRICAN - AFRICAN 🌍/West African Rhythms — Hartigan.pdf"
